time,transactionCost,realizedCPnL,unrealizedPnL,cumulativePnL,momentPnL
2016/11/8,0,0,0,0,0
2016/11/9,-2.16336,-2165.42,2161.1,-4.32672,-4.32672
2016/11/10,-2.2953,-4462.92,4458.22,-4.70154,-0.37482
2016/11/11,0,-4462.92,4421.4,-41.5148,-36.8133
2016/11/14,-2.1643,-2300.88,2184.33,-116.55,-75.0348
2016/11/15,0,-2300.88,2224.57,-76.31,40.2396
2016/11/16,-2.21056,-92.6337,0,-92.6337,-16.3237
2016/11/17,0,-92.6337,0,-92.6337,0
2016/11/18,-4.3639,-4460.8,4359.44,-101.361,-8.7278
2016/11/21,0,-4460.8,4391.96,-68.834,32.5274
2016/11/22,0,-4460.8,4401.47,-59.3235,9.51048
2016/11/23,0,-4460.8,4405.03,-55.7671,3.55644
2016/11/25,-4.4268,-38.5244,0,-38.5244,17.2427
2016/11/28,0,-38.5244,0,-38.5244,0
2016/11/29,-2.4175,2376.46,-2419.82,-43.3594,-4.835
2016/11/30,0,2376.46,-2370.77,5.68975,49.0491
